trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3517,False,"{'a': 0.01, 'e': 0.02963617091765989}",25,14,21.87354036120606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3518,False,"{'a': 0.01, 'e': 0.029606534746742227}",20,7,24.155170489862538,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3519,False,"{'a': 0.01, 'e': 0.029576928211995486}",25,15,17.646724754001596,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3520,False,"{'a': 0.01, 'e': 0.02954735128378349}",25,13,20.375092885206854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3521,False,"{'a': 0.01, 'e': 0.029517803932499708}",25,12,23.023628129749305,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3522,False,"{'a': 0.01, 'e': 0.029488286128567208}",20,12,14.411144424522826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3523,False,"{'a': 0.01, 'e': 0.029458797842438638}",20,14,11.07101074401708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3524,False,"{'a': 0.01, 'e': 0.0294293390445962}",20,12,16.68034198033765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3525,False,"{'a': 0.01, 'e': 0.029399909705551605}",20,10,18.455030700087626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3526,False,"{'a': 0.01, 'e': 0.029370509795846052}",25,17,14.063745912179913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3527,False,"{'a': 0.01, 'e': 0.029341139286050207}",20,10,22.10924836153915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3528,False,"{'a': 0.01, 'e': 0.029311798146764156}",20,14,13.814082057278451,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3529,False,"{'a': 0.01, 'e': 0.029282486348617392}",35,17,36.288024858903675,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3530,False,"{'a': 0.01, 'e': 0.029253203862268776}",30,13,-12.193987025347262,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
3531,False,"{'a': 0.01, 'e': 0.029223950658406505}",25,15,18.150538210179768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3532,False,"{'a': 0.01, 'e': 0.0291947267077481}",25,16,5.600366604765874,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3533,False,"{'a': 0.01, 'e': 0.02916553198104035}",25,18,12.75370116583386,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3534,False,"{'a': 0.01, 'e': 0.02913636644905931}",25,0,26.591562013207223,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3535,False,"{'a': 0.01, 'e': 0.029107230082610253}",20,3,25.32771257298434,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3536,False,"{'a': 0.01, 'e': 0.02907812285252764}",25,13,20.856543447126814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3537,False,"{'a': 0.01, 'e': 0.029049044729675115}",20,9,23.6650296862063,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3538,False,"{'a': 0.01, 'e': 0.02901999568494544}",25,15,19.753512257091618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3539,False,"{'a': 0.01, 'e': 0.028990975689260495}",25,13,21.085432310216884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3540,False,"{'a': 0.01, 'e': 0.028961984713571233}",20,9,20.93963142902541,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3541,False,"{'a': 0.01, 'e': 0.02893302272885766}",20,12,13.20904069449964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3542,False,"{'a': 0.01, 'e': 0.028904089706128806}",20,7,25.490645684247188,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3543,False,"{'a': 0.01, 'e': 0.028875185616422674}",30,13,15.78257960934927,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3544,False,"{'a': 0.01, 'e': 0.028846310430806252}",30,20,-4.520738685658223,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
3545,False,"{'a': 0.01, 'e': 0.028817464120375447}",25,13,20.450766465572634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
